"","dept_e","visible_minority","yes","no","notSure","anscount","A.psychologically.healthy.workplace","A.safe.and.healthy.workplace","Anti.racism","Discrimination","Diversity.and.inclusion","Duty.to.accommodate","Employee.Engagement","Empowerment","Ethical.workplace","Harassment","Immediate.supervisor","Job.fit.and.development","Organizational.goals","Organizational.performance","Pay.or.other.compensation.issues","Performance.management","Physical.environment.and.equipment","Senior.management","Use.of.official.languages","Work.life.balance.and.workload","Work.related.stress","Support.to.resolve.pay.or.other.compensation.issues"
"1","Agriculture and Agri-Food Canada","Chinese",14,57,29,155,76,86,68,11.3076923076923,78.5,55.3333333333333,83.4285714285714,72.5,65.5,39.875,82,35.625,88.5,28.6666666666667,29.3333333333333,80.3333333333333,88.3333333333333,71.5,87.5,71.5,9.51851851851852,46
"2","Canada Border Services Agency","Chinese",23,35,42,285,65.8,69.0909090909091,49.25,35.9444444444444,71.8333333333333,45.1666666666667,66,63.5,57,34.5151515151515,75.3333333333333,32.875,71,37,33.3333333333333,65.6666666666667,75,54.75,77.5,63.25,19.0740740740741,22
"3","Canada Energy Regulator","Chinese",10,62,29,21,82.25,90.7777777777778,71.3333333333333,62.5,80.8333333333333,28.6666666666667,76.4285714285714,77.25,75,52,84,43.625,86,27.2222222222222,10.5,74.6666666666667,87,69,74,68.5,16.0740740740741,NA
"4","Canada Revenue Agency","Chinese",15,49,36,2148,76.2,85.0909090909091,60.25,24.0416666666667,85.6666666666667,51.3333333333333,81.2857142857143,71.75,72.5,23.7045454545455,84.3333333333333,38.25,86.5,25.8888888888889,26.3333333333333,79.6666666666667,83.6666666666667,73.25,84,72.75,12.0740740740741,49.5
"5","Canadian Food Inspection Agency","Chinese",22,39,39,162,80,81.5454545454545,76.3333333333333,28.2666666666667,82.5,48.1666666666667,79.1428571428571,76.5,68,32.5,84.3333333333333,38.625,85.5,28.5555555555556,28.3333333333333,79.6666666666667,80.3333333333333,72,85,72,14.2592592592593,35
"6","Canadian Grain Commission","Chinese",13,60,27,37,73.75,80.7777777777778,66.3333333333333,72.5,77.6666666666667,29,82.5714285714286,68.25,66,60,72,38.25,82.5,20.7777777777778,16,78.3333333333333,86.3333333333333,53.5,80,59.25,12.962962962963,NA
"7","Canadian Heritage","Chinese",13,41,45,30,83.75,82.3333333333333,77.3333333333333,70,88.1666666666667,38.3333333333333,89.8571428571429,77,78,51.3333333333333,81.3333333333333,36.5,88.5,28.7777777777778,33,86,85.3333333333333,77.25,96.5,75.5,20.7407407407407,NA
"8","Canadian Nuclear Safety Commission","Chinese",18,39,43,28,80.75,95.8888888888889,78.3333333333333,75,82.6666666666667,32.6666666666667,84.8571428571429,76.75,63.5,67,90,36.125,88.5,32,9.5,89,85,76.5,93,80,9.7037037037037,NA
"9","Canadian Space Agency","Chinese",0,50,50,12,94.75,93.6666666666667,79.3333333333333,54.3333333333333,89.6666666666667,38,94.7142857142857,89.25,77.75,47.3333333333333,92.3333333333333,36.625,96.5,28.5555555555556,0,92.6666666666667,100,84,82.5,83.75,5.59259259259259,NA
"10","Communications Security Establishment Canada","Chinese",24,52,24,46,71.25,78.7777777777778,63.3333333333333,53.5,78.3333333333333,36,79.4285714285714,78.5,72.75,57,84.6666666666667,36.875,80.5,29.7777777777778,20,80.3333333333333,76,63.25,83,74.25,15.5925925925926,NA
"11","Correctional Service Canada","Chinese",27,46,27,94,47.6,57,61.3333333333333,18.6428571428571,60.1666666666667,35.4,47.8571428571429,46.75,43,47.9444444444444,71.3333333333333,31.5,55.5,41.3333333333333,32.3333333333333,56.3333333333333,64,44.75,79,54.75,26.5555555555556,16.5
"12","Courts Administration Service","Chinese",64,9,27,13,51,63.7777777777778,51.6666666666667,50,58.8333333333333,23.6666666666667,64,60,35.5,44,63,40.25,80,29.3333333333333,30,69.3333333333333,77.3333333333333,37.25,83.5,57.75,25.5555555555556,NA
"13","Crown-Indigenous Relations and Northern Affairs Canada","Chinese",33,25,42,37,73.25,79.3333333333333,66,59.5,82.5,33.3333333333333,67.1428571428571,75.75,56.25,31,82.6666666666667,36,75,41.3333333333333,26.3333333333333,74,78,64.25,79.5,64.5,18.5185185185185,38
"14","Department of Finance Canada","Chinese",24,34,42,17,65.75,74.7777777777778,57.3333333333333,46.5,82.5,34,87.2857142857143,74.25,72.75,38,87,41.75,82,23.3333333333333,8.5,73,86,75,79.5,67.5,12.9259259259259,NA
"15","Department of Justice","Chinese",19,36,45,98,71.4,82.4545454545455,69,42.3333333333333,81.3333333333333,42.6,76.2857142857143,71,61.25,43.6666666666667,76.6666666666667,35.25,82,27.7777777777778,31,77,85,74.5,81,68,15.5925925925926,18
"16","Department of National Defence","Chinese",25,36,39,266,74.2,79.0909090909091,68.6666666666667,27.5882352941176,78,53.8333333333333,76.2857142857143,68.5,62.25,46.1764705882353,79,34.875,82.5,31.8888888888889,26.3333333333333,74.3333333333333,78,66,81,72.25,14.4444444444444,31
"17","Employment and Social Development Canada","Chinese",26,31,42,667,73.8,79.8181818181818,59,30.9615384615385,82.6666666666667,52.3333333333333,76.7142857142857,67.75,69.5,27.575,79.3333333333333,39.25,83.5,29.7777777777778,30.6666666666667,78.6666666666667,87.6666666666667,72.25,88.5,66.75,16.1111111111111,30.5
"18","Environment and Climate Change Canada","Chinese",24,44,32,206,78.8,81.9090909090909,75.3333333333333,47.6666666666667,86.8333333333333,44,84.1428571428571,78.75,73.75,27.4782608695652,85.6666666666667,38.375,85,27.8888888888889,24.3333333333333,82.6666666666667,83.3333333333333,68.5,90.5,71.25,11.1851851851852,35
"19","Fisheries and Oceans Canada","Chinese",27,26,47,153,67,70.9090909090909,65.6666666666667,41,77.3333333333333,48,68.4285714285714,67.5,58.75,38.4,78.6666666666667,37.125,71,34,29,69.6666666666667,75.6666666666667,58.25,78,61.5,18.6666666666667,16
"20","Global Affairs Canada","Chinese",28,32,40,134,67.4,73.4545454545455,51,31,76.6666666666667,54.5,73.7142857142857,71.25,61.25,30.1,84.3333333333333,32.375,77,34,29,80.3333333333333,73,62,90.5,66,17.7777777777778,27.5
"21","Health Canada","Chinese",21,36,43,355,74.2,79.7272727272727,53.5,29.3888888888889,82.3333333333333,50.5,81.1428571428571,75.75,64.5,34.9,83,38.5,84,28.5555555555556,27.6666666666667,81,83,70.25,89,70.25,16,35.5
"22","Immigration and Refugee Board of Canada","Chinese",22,24,54,45,64.5,67.1111111111111,69,54.5,75.3333333333333,31.3333333333333,66,64.25,57.25,40.6666666666667,72,37.375,74,27.5555555555556,34,72,78,58,86.5,53.25,19,27.5
"23","Immigration, Refugees and Citizenship Canada","Chinese",23,34,43,236,72,78.8181818181818,61.5,31.4375,85.3333333333333,49.8333333333333,81.7142857142857,74.5,69.25,38.75,81.3333333333333,39.5,83,33.7777777777778,26.3333333333333,78.3333333333333,77,69.5,86,67.5,16.9259259259259,20
"24","Impact Assessment Agency of Canada","Chinese",19,25,56,16,89.5,88.7777777777778,71,58.5,84,29.3333333333333,78.4285714285714,71.5,69.75,50,79.3333333333333,35.125,72.5,33.2222222222222,8,81.6666666666667,79.3333333333333,70,92,86.5,16.037037037037,NA
"25","Indigenous Services Canada","Chinese",24,32,45,109,76.2,83.7272727272727,76,46.3333333333333,81.6666666666667,38.6,76.7142857142857,73.75,66,32.7222222222222,81.6666666666667,35.875,86,29.8888888888889,39.6666666666667,79.6666666666667,85,72.75,83.5,64.25,12.7777777777778,44
"26","Innovation, Science and Economic Development Canada","Chinese",18,42,40,157,74,80.9090909090909,71,24.125,79.5,45.1666666666667,78.5714285714286,70.25,63.75,46,85,36.625,82,26.7777777777778,27,83.6666666666667,78,67.5,88,69,12.0740740740741,34
"27","Micro-organizations combined","Chinese",9,57,34,22,89.75,96.3333333333333,78.3333333333333,74.5,90.3333333333333,39.6666666666667,84.7142857142857,82.5,76.25,77,88.3333333333333,37.375,83,15.1111111111111,12.5,82.6666666666667,87,81.25,94.5,73,8.55555555555556,NA
"28","National Research Council Canada","Chinese",4,66,30,156,84.6,89.5454545454545,74.6666666666667,13.9333333333333,86.3333333333333,48.5,87.8571428571429,78.25,70.5,51.3333333333333,85.3333333333333,36.875,88.5,25.6666666666667,3,84,86,76.75,86,74,7.37037037037037,NA
"29","Natural Resources Canada","Chinese",15,58,27,114,77,85.4545454545455,75.6666666666667,52.3333333333333,82,33,84,75.5,67,76,81.6666666666667,36.75,85,25.5555555555556,27.3333333333333,82,87.3333333333333,73.5,90.5,70.75,11.2222222222222,37
"30","Natural Sciences and Engineering Research Council of Canada","Chinese",31,38,31,13,96,98.2222222222222,86,82.5,96.1666666666667,47,94.5714285714286,92,84,50.3333333333333,87.3333333333333,44.875,88.5,23.1111111111111,11,87.3333333333333,97.3333333333333,72.5,96,71.5,8.59259259259259,NA
"31","Office of the Auditor General of Canada","Chinese",8,56,36,34,73.8,85.4545454545455,63.3333333333333,74,82,35.6666666666667,86.1428571428571,77,74.5,66.5,76.6666666666667,41.25,88.5,28.6666666666667,12,79.3333333333333,79,77.75,93.5,69.5,17.8148148148148,NA
"32","Office of the Chief Electoral Officer","Chinese",18,22,60,22,72,85.7777777777778,65,41,80,38,79.2857142857143,72.75,65.75,58,82.3333333333333,44,89.5,32,19.5,83,85.3333333333333,75,95.5,79.25,14.8888888888889,NA
"33","Parks Canada","Chinese",24,29,47,28,73.2,79.7272727272727,69.6666666666667,66,89.5,34,89,83.75,65.75,47.6666666666667,93.3333333333333,36.625,88.5,29.4444444444444,21.5,82.6666666666667,87.3333333333333,75.5,85.5,67,9.22222222222222,NA
"34","Privy Council Office","Chinese",17,25,57,16,84.75,81.2222222222222,82,70,89.6666666666667,39.3333333333333,80.2857142857143,77.5,68.75,61,92,40.5,90.5,29.6666666666667,23,79,77.6666666666667,74,87,73.25,17.6666666666667,NA
"35","Public Health Agency of Canada","Chinese",18,28,54,65,73.6,76.9090909090909,63,40.6666666666667,79.5,45.2,79.2857142857143,74.5,59.5,58,87.3333333333333,38.625,78.5,42.5555555555556,19,81.6666666666667,80,53.25,75.5,67,19.1111111111111,28.5
"36","Public Prosecution Service of Canada","Chinese",21,40,39,10,76,85.5,67.3333333333333,48.5,71.1666666666667,47.3333333333333,64.2857142857143,59.25,58.5,38,65.6666666666667,43,89,29,15,66,79,61,35,59,19.9615384615385,NA
"37","Public Safety Canada","Chinese",45,17,38,20,62.25,66.5555555555556,60.6666666666667,45,72.6666666666667,35,75.8571428571429,70,59,48,75.6666666666667,32.75,59,34.2222222222222,14.5,81.3333333333333,66.3333333333333,67,83.5,59,21.4074074074074,NA
"38","Public Service","Chinese",20,41,39,7257,74.2,80.7272727272727,57.5,18.6595744680851,82.3333333333333,50.3333333333333,78.2857142857143,71.5,67.5,23.2083333333333,82.3333333333333,37.5,83,29.2222222222222,26.3333333333333,78.3333333333333,82,69.75,86,70,14.2962962962963,32.5
"39","Public Services and Procurement Canada","Chinese",20,37,43,336,79.6,84.2727272727273,63.25,33.0555555555556,83.6666666666667,54.3333333333333,79.8571428571429,73.25,67.25,33.1935483870968,83.6666666666667,38.375,82.5,29.4444444444444,25.3333333333333,79,84.3333333333333,74.25,88.5,72.75,14.1481481481481,26.5
"40","Royal Canadian Mounted Police","Chinese",22,32,46,130,72,74.2727272727273,68,43.6666666666667,76.8333333333333,48,76,67.75,64.5,31.8571428571429,74.6666666666667,36.875,79,29.2222222222222,29.6666666666667,76,79,70.5,79.5,73,14.3333333333333,30
"41","Shared Services Canada","Chinese",20,46,34,122,77.6,83.3636363636364,77.3333333333333,48.3333333333333,84,47.6666666666667,77.7142857142857,78,72.5,15.5384615384615,86.3333333333333,36.625,85,30.6666666666667,30.6666666666667,77.6666666666667,83.3333333333333,70.5,89,70.75,11.962962962963,31
"42","Statistical Survey Operations","Chinese",17,37,46,30,68,79.6666666666667,71,60.5,84.1666666666667,32.3333333333333,65.7142857142857,45,66.5,64.5,72,34.5,85,23.4444444444444,11.5,76.3333333333333,80.6666666666667,57.5,92.5,60.25,12.5925925925926,NA
"43","Statistics Canada","Chinese",16,48,37,206,76.4,83.6363636363636,79.3333333333333,48.8333333333333,89.3333333333333,50.5,82.8571428571429,79.75,76,52.6666666666667,89,38.875,89,23.5555555555556,19,85.6666666666667,82.3333333333333,77,94,73,10.6666666666667,36.5
"44","Transport Canada","Chinese",20,34,46,150,82.4,85.9090909090909,79.3333333333333,46.6666666666667,87,54,85,80,71,48,86,38.125,89,30.7777777777778,40.6666666666667,81,84,75.25,87,73.5,15.2222222222222,29.5
"45","Treasury Board of Canada Secretariat","Chinese",35,24,41,60,81.2,80,80.3333333333333,48.3333333333333,81.1666666666667,38.3333333333333,78.2857142857143,77.5,67,34.3636363636364,87.3333333333333,40.375,82.5,33.4444444444444,30,80,80.3333333333333,69.75,92,64.75,19.5925925925926,42.5
"46","Veterans Affairs Canada","Chinese",33,36,30,31,71.25,81.3333333333333,66.3333333333333,61,78,31.3333333333333,75.4285714285714,61.5,61.75,51.5,80,36.5,85.5,25.1111111111111,33,73.6666666666667,79.3333333333333,66.5,87,65.75,19.962962962963,NA
"47","Western Economic Diversification Canada","Chinese",13,47,40,23,89,94.6666666666667,83.6666666666667,89.5,94.3333333333333,38.3333333333333,90.2857142857143,88,86,90,87,41.875,97.5,29.3333333333333,8,90,95.3333333333333,85.75,89,68.75,15.962962962963,NA
